name,edibility_raw,edibility_label,url
Hydnellum concrescens,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6116_gid__source_gallerydefault.html
Hydnellum geogenium,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6117_gid__source_gallerydefault.html
Hydnellum mirabile,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6118_gid__source_gallerydefault.html
Hydnellum pineticola,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6120_gid__source_gallerydefault.html
Hydnellum regium,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6121_gid__source_gallerydefault.html
Hydnellum spongiosipes,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6123_gid__source_gallerydefault.html
Hydnellum suaveolens,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6124_gid__source_gallerydefault.html
Hydnochaete olivacea,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6125_gid__source_gallerydefault.html
Hydnotria tulasnei,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6932_gid__source_gallerydefault.html
Hydnum repandum,Choice,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6126_gid__source_gallerydefault.html
Hydnum rufescens,Choice,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6127_gid__source_gallerydefault.html
Hydnum umbilicatum,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6131_gid__source_gallerydefault.html
Ileodictyon cibarium,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_12035_gid__source_gallerydefault.html
Inocybe adaequata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6968_gid__source_gallerydefault.html
Inocybe atripes,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6421_gid__source_gallerydefault.html
Inocybe caesariata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6423_gid__source_gallerydefault.html
Inocybe calamistrata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6425_gid__source_gallerydefault.html
Inocybe calospora,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6426_gid__source_gallerydefault.html
Inocybe cincinnata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6427_gid__source_gallerydefault.html
Inocybe cookei,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6428_gid__source_gallerydefault.html
Inocybe corydalina,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6429_gid__source_gallerydefault.html
Inocybe dulcamara,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6430_gid__source_gallerydefault.html
Inocybe fastigiata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6432_gid__source_gallerydefault.html
Inocybe flocculosa,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6435_gid__source_gallerydefault.html
Inocybe geophylla,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6436_gid__source_gallerydefault.html
Inocybe grammata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6439_gid__source_gallerydefault.html
Inocybe griseolilacina,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6440_gid__source_gallerydefault.html
Inocybe jurana,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6443_gid__source_gallerydefault.html
Inocybe lacera,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6444_gid__source_gallerydefault.html
Inocybe lanuginosa,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6446_gid__source_gallerydefault.html
Inocybe longicystis,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6447_gid__source_gallerydefault.html
Inocybe maculata,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6448_gid__source_gallerydefault.html
Inocybe margaritispora,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6449_gid__source_gallerydefault.html
Inocybe petiginosa,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6452_gid__source_gallerydefault.html
Inocybe praetervisa,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6453_gid__source_gallerydefault.html
Inocybe pyriodora,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6454_gid__source_gallerydefault.html
Inocybe rimosoides,Poisonous/Suspect,poisonous,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6455_gid__source_gallerydefault.html
Kuehneromyces mutabilis,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_5936_gid__source_gallerydefault.html
Macowanites luteolus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6380_gid__source_gallerydefault.html
